timestamp,ip,latencia_ms,perda_pacotes_pct,jitter_ms,status_real
2026-09-13 21:11:57,193.0.14.129,82.01,0.0,0.69,RISCO
2026-09-13 21:11:47,193.0.14.129,112.67,0.0,0.06,RISCO
2026-09-13 21:11:57,193.0.14.129,206.06,0.0,0.02,RISCO
2026-09-13 21:11:50,193.0.14.129,183.37,0.0,0.04,RISCO
2026-09-13 21:11:54,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:56,193.0.14.129,295.42,0.0,0.09,RISCO
2026-09-13 21:11:47,193.0.14.129,297.31,0.0,0.04,RISCO
2026-09-13 21:11:43,193.0.14.129,187.2,0.0,2.21,RISCO
2026-09-13 21:11:43,193.0.14.129,55.87,0.0,32.05,RISCO
2026-09-13 21:11:45,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:41,193.0.14.129,253.99,0.0,6.84,RISCO
2026-09-13 21:11:46,193.0.14.129,171.39,0.0,0.03,RISCO
2026-09-13 21:11:44,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:48,193.0.14.129,138.18,0.0,25.21,RISCO
2026-09-13 21:11:41,193.0.14.129,278.45,0.0,0.03,RISCO
2026-09-13 21:11:59,193.0.14.129,224.67,0.0,187.7,RISCO
2026-09-13 21:11:44,193.0.14.129,80.2,0.0,0.14,RISCO
2026-09-13 21:11:56,193.0.14.129,139.68,0.0,0.96,RISCO
2026-09-13 21:11:51,193.0.14.129,149.87,0.0,0.05,RISCO
2026-09-13 21:11:53,193.0.14.129,170.25,0.0,0.08,RISCO
2026-09-13 21:11:48,193.0.14.129,81.92,0.0,0.05,RISCO
2026-09-13 21:11:46,193.0.14.129,96.55,0.0,0.07,RISCO
2026-09-13 21:11:56,193.0.14.129,147.5,0.0,0.83,RISCO
2026-09-13 21:11:52,193.0.14.129,205.46,0.0,0.11,RISCO
2026-09-13 21:11:46,193.0.14.129,299.13,0.0,0.3,RISCO
2026-09-13 21:11:50,193.0.14.129,88.61,0.0,0.58,RISCO
2026-09-13 21:11:52,193.0.14.129,246.27,0.0,0.64,RISCO
2026-09-13 21:11:59,193.0.14.129,28.07,0.0,16.21,RISCO
2026-09-13 21:11:49,193.0.14.129,131.17,33.33,5.07,FALHA
2026-09-13 21:11:44,193.0.14.129,17.33,33.33,0.28,FALHA
2026-09-13 21:11:45,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:54,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:53,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:54,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:47,193.0.14.129,11.24,33.33,1.21,FALHA
2026-09-13 21:11:52,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:43,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:54,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:50,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:51,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:58,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:45,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:54,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:40,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:49,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:50,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:53,193.0.14.129,70.29,33.33,0.35,FALHA
2026-09-13 21:11:46,193.0.14.129,279.94,66.67,666.73,FALHA
2026-09-13 21:11:40,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:43,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:41,193.0.14.129,-1,100.0,0.0,FALHA
